review_id,company,rating,title,pros,cons,advice,author_role,author_tenure,timestamp,helpful_count,sentiment,pros_word_count,cons_word_count,review_length,year_posted,is_current_employee
gd_10,Meta,4.2,Great experience at Meta,Supportive team and management,Limited remote work options,Focus on employee development,Software Engineer,Current Employee,2025-07-19T08:54:03.522922,65,positive,4,4,86,2025,True
gd_11,Google,2.0,Challenging experience at Google,Innovative culture and cutting-edge technology,Limited remote work options,Focus on employee development,Sales Director,Former Employee - 2 years,2024-10-20T08:54:03.523654,59,negative,5,4,102,2024,False
gd_12,Amazon,4.9,Great experience at Amazon,Supportive team and management,Limited remote work options,Focus on innovation,HR Manager,Former Employee - 5 years,2025-02-09T08:54:03.522808,52,positive,4,4,76,2025,False
gd_13,Microsoft,4.5,Great experience at Microsoft,Supportive team and management,Limited remote work options,Focus on employee development,Software Engineer,Current Employee,2024-12-29T08:54:03.530034,69,positive,4,4,86,2024,True
gd_14,Salesforce,3.5,Mixed experience at Salesforce,Supportive team and management,High expectations and long hours during crunch time,Focus on work-life balance,Product Manager,Former Employee - 2 years,2024-10-20T08:54:03.529929,93,neutral,4,8,107,2024,False
gd_15,IBM,2.0,Challenging experience at IBM,Innovative culture and cutting-edge technology,Bureaucratic processes slow down innovation,Focus on employee development,Data Scientist,Former Employee - 2 years,2025-06-14T08:54:03.529006,61,negative,5,5,118,2025,False
gd_16,Oracle,2.6,Challenging experience at Oracle,Supportive team and management,Bureaucratic processes slow down innovation,Focus on communication,DevOps Engineer,Former Employee - 5 years,2024-12-13T08:54:03.526869,30,negative,4,5,95,2024,False
gd_17,Meta,2.1,Challenging experience at Meta,Innovative culture and cutting-edge technology,High expectations and long hours during crunch time,Focus on communication,HR Manager,Former Employee - 2 years,2024-09-24T08:54:03.529343,16,negative,5,8,119,2024,False
gd_18,Tesla,4.4,Great experience at Tesla,Supportive team and management,Limited advancement opportunities in some departments,Focus on innovation,DevOps Engineer,Current Employee,2025-07-08T08:54:03.529910,52,positive,4,6,102,2025,True
gd_19,IBM,4.4,Great experience at IBM,Competitive compensation and benefits,Limited remote work options,Focus on employee development,HR Manager,Former Employee - 5 years,2025-05-25T08:54:03.530654,41,positive,4,4,93,2025,False
gd_20,Google,4.4,Great experience at Google,Great work-life balance and flexible hours,Fast-paced environment can be stressful,Focus on employee development,Marketing Manager,Former Employee - 2 years,2025-05-23T08:54:03.523408,79,positive,6,5,110,2025,False
gd_21,Apple,3.5,Mixed experience at Apple,Excellent learning opportunities and career growth,Limited remote work options,Focus on communication,Software Engineer,Former Employee - 5 years,2025-05-15T08:54:03.530383,28,neutral,6,4,99,2025,False
gd_22,Amazon,3.6,Mixed experience at Amazon,Innovative culture and cutting-edge technology,High expectations and long hours during crunch time,Focus on employee development,Marketing Manager,Former Employee - 5 years,2025-02-06T08:54:03.528927,76,neutral,5,8,126,2025,False
gd_23,Oracle,2.6,Challenging experience at Oracle,Innovative culture and cutting-edge technology,Fast-paced environment can be stressful,Focus on innovation,UX Designer,Current Employee,2025-06-21T08:54:03.527019,53,negative,5,5,104,2025,True
gd_24,Netflix,2.7,Challenging experience at Netflix,Great work-life balance and flexible hours,Limited remote work options,Focus on communication,Marketing Manager,Former Employee - 5 years,2024-12-23T08:54:03.528106,70,negative,6,4,91,2024,False
gd_25,Apple,2.3,Challenging experience at Apple,Great work-life balance and flexible hours,Limited remote work options,Focus on work-life balance,UX Designer,Former Employee - 5 years,2025-04-03T08:54:03.528295,86,negative,6,4,95,2025,False
gd_26,Microsoft,3.7,Mixed experience at Microsoft,Competitive compensation and benefits,Limited remote work options,Focus on employee development,Sales Director,Former Employee - 5 years,2024-11-01T08:54:03.529973,37,neutral,4,4,93,2024,False
gd_27,IBM,3.4,Mixed experience at IBM,Competitive compensation and benefits,Bureaucratic processes slow down innovation,Focus on innovation,Software Engineer,Former Employee - 2 years,2024-10-30T08:54:03.529764,90,neutral,4,5,99,2024,False
gd_28,Google,4.7,Great experience at Google,Excellent learning opportunities and career growth,Limited advancement opportunities in some departments,Focus on employee development,Software Engineer,Former Employee - 5 years,2025-06-06T08:54:03.529377,85,positive,6,6,132,2025,False
gd_29,Microsoft,3.9,Mixed experience at Microsoft,Great work-life balance and flexible hours,Limited remote work options,Focus on communication,UX Designer,Former Employee - 5 years,2025-04-24T08:54:03.525332,5,neutral,6,4,91,2025,False
gd_30,Google,3.6,Mixed experience at Google,Competitive compensation and benefits,Limited remote work options,Focus on communication,Data Scientist,Former Employee - 5 years,2024-12-31T08:54:03.527434,81,neutral,4,4,86,2024,False
gd_31,Netflix,4.8,Great experience at Netflix,Supportive team and management,Bureaucratic processes slow down innovation,Focus on innovation,Sales Director,Former Employee - 5 years,2025-03-06T08:54:03.529072,91,positive,4,5,92,2025,False
gd_32,IBM,2.3,Challenging experience at IBM,Supportive team and management,Fast-paced environment can be stressful,Focus on employee development,Sales Director,Current Employee,2025-05-03T08:54:03.527615,37,negative,4,5,98,2025,True
gd_33,Tesla,3.4,Mixed experience at Tesla,Great work-life balance and flexible hours,High expectations and long hours during crunch time,Focus on work-life balance,Software Engineer,Former Employee - 2 years,2025-04-01T08:54:03.527766,28,neutral,6,8,119,2025,False
gd_34,Google,2.2,Challenging experience at Google,Competitive compensation and benefits,Fast-paced environment can be stressful,Focus on work-life balance,Data Scientist,Current Employee,2024-09-06T08:54:03.530625,84,negative,4,5,102,2024,True
gd_35,IBM,4.0,Great experience at IBM,Innovative culture and cutting-edge technology,Bureaucratic processes slow down innovation,Focus on communication,Data Scientist,Current Employee,2024-08-12T08:54:03.527939,95,positive,5,5,111,2024,True
gd_36,IBM,4.0,Great experience at IBM,Supportive team and management,Fast-paced environment can be stressful,Focus on work-life balance,DevOps Engineer,Current Employee,2025-06-12T08:54:03.529599,94,positive,4,5,95,2025,True
gd_37,Google,4.3,Great experience at Google,Excellent learning opportunities and career growth,Bureaucratic processes slow down innovation,Focus on communication,Data Scientist,Former Employee - 5 years,2025-02-06T08:54:03.529804,58,positive,6,5,115,2025,False
gd_38,Salesforce,2.0,Challenging experience at Salesforce,Supportive team and management,Bureaucratic processes slow down innovation,Focus on employee development,Software Engineer,Former Employee - 5 years,2025-03-24T08:54:03.523615,69,negative,4,5,102,2025,False
gd_39,Amazon,2.9,Challenging experience at Amazon,Great work-life balance and flexible hours,Bureaucratic processes slow down innovation,Focus on employee development,Software Engineer,Former Employee - 2 years,2024-10-26T08:54:03.522492,46,negative,6,5,114,2024,False
gd_40,Salesforce,3.2,Mixed experience at Salesforce,Competitive compensation and benefits,Bureaucratic processes slow down innovation,Focus on communication,Sales Director,Former Employee - 2 years,2025-03-11T08:54:03.529496,44,neutral,4,5,102,2025,False
gd_41,Google,4.9,Great experience at Google,Great work-life balance and flexible hours,Bureaucratic processes slow down innovation,Focus on work-life balance,Marketing Manager,Current Employee,2024-11-03T08:54:03.531107,89,positive,6,5,111,2024,True
gd_42,Oracle,2.8,Challenging experience at Oracle,Excellent learning opportunities and career growth,Fast-paced environment can be stressful,Focus on work-life balance,Marketing Manager,Former Employee - 2 years,2024-11-28T08:54:03.524558,80,negative,6,5,115,2024,False
gd_43,Tesla,2.1,Challenging experience at Tesla,Competitive compensation and benefits,Limited remote work options,Focus on employee development,Data Scientist,Former Employee - 5 years,2025-02-01T08:54:03.528277,85,negative,4,4,93,2025,False
gd_44,Salesforce,2.3,Challenging experience at Salesforce,Excellent learning opportunities and career growth,Limited advancement opportunities in some departments,Focus on innovation,Data Scientist,Current Employee,2025-05-08T08:54:03.525780,9,negative,6,6,122,2025,True
gd_45,Microsoft,2.1,Challenging experience at Microsoft,Competitive compensation and benefits,Bureaucratic processes slow down innovation,Focus on work-life balance,Data Scientist,Former Employee - 2 years,2025-03-28T08:54:03.525839,55,negative,4,5,106,2025,False
gd_46,Microsoft,3.2,Mixed experience at Microsoft,Innovative culture and cutting-edge technology,Bureaucratic processes slow down innovation,Focus on innovation,Sales Director,Current Employee,2025-05-30T08:54:03.525675,20,neutral,5,5,108,2025,True
gd_47,IBM,2.7,Challenging experience at IBM,Excellent learning opportunities and career growth,High expectations and long hours during crunch time,Focus on employee development,Marketing Manager,Former Employee - 5 years,2025-05-27T08:54:03.526084,62,negative,6,8,130,2025,False
gd_48,Tesla,4.7,Great experience at Tesla,Competitive compensation and benefits,Bureaucratic processes slow down innovation,Focus on communication,DevOps Engineer,Former Employee - 2 years,2025-01-28T08:54:03.527198,58,positive,4,5,102,2025,False
gd_49,IBM,4.8,Great experience at IBM,Excellent learning opportunities and career growth,Limited advancement opportunities in some departments,Focus on innovation,Sales Director,Current Employee,2025-06-07T08:54:03.529023,75,positive,6,6,122,2025,True
gd_50,Meta,4.7,Great experience at Meta,Competitive compensation and benefits,Limited advancement opportunities in some departments,Focus on employee development,Sales Director,Current Employee,2025-02-27T08:54:03.522844,65,positive,4,6,119,2025,True
gd_51,Amazon,4.2,Great experience at Amazon,Supportive team and management,Limited remote work options,Focus on innovation,HR Manager,Former Employee - 5 years,2025-05-20T08:54:03.527304,20,positive,4,4,76,2025,False
gd_52,Tesla,4.0,Great experience at Tesla,Excellent learning opportunities and career growth,Limited remote work options,Focus on work-life balance,Marketing Manager,Current Employee,2025-02-14T08:54:03.530334,81,positive,6,4,103,2025,True
gd_53,Amazon,2.3,Challenging experience at Amazon,Supportive team and management,Fast-paced environment can be stressful,Focus on employee development,DevOps Engineer,Former Employee - 5 years,2025-02-04T08:54:03.529702,52,negative,4,5,98,2025,False
gd_54,IBM,2.1,Challenging experience at IBM,Excellent learning opportunities and career growth,Limited remote work options,Focus on communication,DevOps Engineer,Former Employee - 5 years,2024-08-11T08:54:03.530470,100,negative,6,4,99,2024,False
gd_55,Tesla,2.1,Challenging experience at Tesla,Innovative culture and cutting-edge technology,Fast-paced environment can be stressful,Focus on work-life balance,HR Manager,Former Employee - 2 years,2025-02-03T08:54:03.528331,33,negative,5,5,111,2025,False
gd_56,Oracle,3.8,Mixed experience at Oracle,Great work-life balance and flexible hours,Bureaucratic processes slow down innovation,Focus on communication,Product Manager,Current Employee,2025-03-12T08:54:03.524996,4,neutral,6,5,107,2025,True
gd_57,Meta,2.5,Challenging experience at Meta,Competitive compensation and benefits,Fast-paced environment can be stressful,Focus on innovation,Software Engineer,Former Employee - 2 years,2025-03-03T08:54:03.525103,14,negative,4,5,95,2025,False
gd_58,Apple,2.6,Challenging experience at Apple,Supportive team and management,Limited remote work options,Focus on innovation,Data Scientist,Former Employee - 2 years,2024-08-15T08:54:03.530932,30,negative,4,4,76,2024,False
gd_59,IBM,4.1,Great experience at IBM,Innovative culture and cutting-edge technology,High expectations and long hours during crunch time,Focus on communication,Data Scientist,Former Employee - 2 years,2025-06-11T08:54:03.527156,17,positive,5,8,119,2025,False
gd_60,Oracle,3.3,Mixed experience at Oracle,Innovative culture and cutting-edge technology,Fast-paced environment can be stressful,Focus on work-life balance,DevOps Engineer,Former Employee - 5 years,2024-08-28T08:54:03.524734,96,neutral,5,5,111,2024,False
gd_61,IBM,3.8,Mixed experience at IBM,Supportive team and management,Bureaucratic processes slow down innovation,Focus on innovation,Data Scientist,Former Employee - 2 years,2025-04-15T08:54:03.530587,70,neutral,4,5,92,2025,False
gd_62,Google,4.9,Great experience at Google,Innovative culture and cutting-edge technology,Fast-paced environment can be stressful,Focus on communication,HR Manager,Current Employee,2024-09-19T08:54:03.529200,25,positive,5,5,107,2024,True
gd_63,Tesla,3.1,Mixed experience at Tesla,Great work-life balance and flexible hours,Fast-paced environment can be stressful,Focus on innovation,Data Scientist,Former Employee - 2 years,2025-07-24T08:54:03.523621,57,neutral,6,5,100,2025,False
gd_64,IBM,4.3,Great experience at IBM,Excellent learning opportunities and career growth,High expectations and long hours during crunch time,Focus on work-life balance,Data Scientist,Former Employee - 5 years,2024-12-02T08:54:03.529709,0,positive,6,8,127,2024,False
gd_65,Amazon,4.4,Great experience at Amazon,Innovative culture and cutting-edge technology,Fast-paced environment can be stressful,Focus on innovation,Data Scientist,Former Employee - 5 years,2025-07-01T08:54:03.524356,22,positive,5,5,104,2025,False
gd_66,Google,3.6,Mixed experience at Google,Excellent learning opportunities and career growth,Fast-paced environment can be stressful,Focus on employee development,UX Designer,Current Employee,2025-02-01T08:54:03.529829,34,neutral,6,5,118,2025,True
gd_67,Microsoft,2.5,Challenging experience at Microsoft,Great work-life balance and flexible hours,Fast-paced environment can be stressful,Focus on communication,Marketing Manager,Former Employee - 5 years,2024-11-09T08:54:03.525599,68,negative,6,5,103,2024,False
gd_68,Tesla,3.6,Mixed experience at Tesla,Competitive compensation and benefits,High expectations and long hours during crunch time,Focus on communication,Software Engineer,Former Employee - 5 years,2024-10-27T08:54:03.530839,41,neutral,4,8,110,2024,False
gd_69,Apple,4.2,Great experience at Apple,Great work-life balance and flexible hours,Limited remote work options,Focus on communication,UX Designer,Current Employee,2024-11-07T08:54:03.522562,24,positive,6,4,91,2024,True
gd_70,Oracle,2.9,Challenging experience at Oracle,Great work-life balance and flexible hours,Bureaucratic processes slow down innovation,Focus on employee development,HR Manager,Former Employee - 2 years,2025-03-18T08:54:03.525785,50,negative,6,5,114,2025,False
gd_71,IBM,2.2,Challenging experience at IBM,Competitive compensation and benefits,Limited remote work options,Focus on communication,Marketing Manager,Former Employee - 2 years,2025-02-09T08:54:03.524658,98,negative,4,4,86,2025,False
gd_72,Google,2.6,Challenging experience at Google,Competitive compensation and benefits,Limited advancement opportunities in some departments,Focus on communication,HR Manager,Former Employee - 2 years,2025-04-23T08:54:03.526743,52,negative,4,6,112,2025,False
gd_73,Google,2.4,Challenging experience at Google,Competitive compensation and benefits,Limited advancement opportunities in some departments,Focus on innovation,HR Manager,Former Employee - 2 years,2024-09-07T08:54:03.526376,47,negative,4,6,109,2024,False
gd_74,Salesforce,4.9,Great experience at Salesforce,Innovative culture and cutting-edge technology,Fast-paced environment can be stressful,Focus on communication,Sales Director,Current Employee,2025-03-03T08:54:03.526236,60,positive,5,5,107,2025,True
gd_75,Salesforce,3.0,Mixed experience at Salesforce,Excellent learning opportunities and career growth,High expectations and long hours during crunch time,Focus on innovation,UX Designer,Current Employee,2025-03-10T08:54:03.528029,56,neutral,6,8,120,2025,True
gd_76,Salesforce,2.5,Challenging experience at Salesforce,Great work-life balance and flexible hours,Bureaucratic processes slow down innovation,Focus on innovation,Marketing Manager,Current Employee,2024-12-06T08:54:03.528265,81,negative,6,5,104,2024,True
gd_77,IBM,3.0,Mixed experience at IBM,Supportive team and management,Limited remote work options,Focus on innovation,DevOps Engineer,Former Employee - 5 years,2025-04-13T08:54:03.525962,45,neutral,4,4,76,2025,False
gd_78,Netflix,4.4,Great experience at Netflix,Supportive team and management,Limited remote work options,Focus on work-life balance,UX Designer,Former Employee - 2 years,2024-10-08T08:54:03.526827,57,positive,4,4,83,2024,False
gd_79,Salesforce,2.3,Challenging experience at Salesforce,Innovative culture and cutting-edge technology,Bureaucratic processes slow down innovation,Focus on employee development,Marketing Manager,Current Employee,2024-12-15T08:54:03.530926,49,negative,5,5,118,2024,True
gd_80,Amazon,2.4,Challenging experience at Amazon,Innovative culture and cutting-edge technology,High expectations and long hours during crunch time,Focus on employee development,UX Designer,Former Employee - 5 years,2025-03-25T08:54:03.525246,85,negative,5,8,126,2025,False
gd_81,Oracle,3.2,Mixed experience at Oracle,Competitive compensation and benefits,Bureaucratic processes slow down innovation,Focus on employee development,Marketing Manager,Former Employee - 2 years,2025-04-17T08:54:03.527398,41,neutral,4,5,109,2025,False
gd_82,Tesla,2.8,Challenging experience at Tesla,Supportive team and management,Fast-paced environment can be stressful,Focus on innovation,Data Scientist,Former Employee - 2 years,2024-12-27T08:54:03.526446,99,negative,4,5,88,2024,False
gd_83,IBM,3.5,Mixed experience at IBM,Great work-life balance and flexible hours,Fast-paced environment can be stressful,Focus on employee development,DevOps Engineer,Current Employee,2025-07-02T08:54:03.529736,45,neutral,6,5,110,2025,True
gd_84,Amazon,4.3,Great experience at Amazon,Innovative culture and cutting-edge technology,Bureaucratic processes slow down innovation,Focus on communication,DevOps Engineer,Current Employee,2025-06-14T08:54:03.528940,22,positive,5,5,111,2025,True
gd_85,Meta,3.2,Mixed experience at Meta,Great work-life balance and flexible hours,Fast-paced environment can be stressful,Focus on communication,Product Manager,Current Employee,2025-04-20T08:54:03.526550,41,neutral,6,5,103,2025,True
gd_86,Tesla,3.1,Mixed experience at Tesla,Great work-life balance and flexible hours,Fast-paced environment can be stressful,Focus on work-life balance,Product Manager,Former Employee - 2 years,2024-11-15T08:54:03.529270,37,neutral,6,5,107,2024,False
gd_87,Oracle,3.1,Mixed experience at Oracle,Competitive compensation and benefits,Fast-paced environment can be stressful,Focus on employee development,Product Manager,Current Employee,2025-06-09T08:54:03.529054,63,neutral,4,5,105,2025,True
gd_88,Amazon,2.9,Challenging experience at Amazon,Great work-life balance and flexible hours,Limited advancement opportunities in some departments,Focus on communication,Marketing Manager,Former Employee - 2 years,2025-03-05T08:54:03.525152,20,negative,6,6,117,2025,False
gd_89,Meta,4.7,Great experience at Meta,Excellent learning opportunities and career growth,Fast-paced environment can be stressful,Focus on work-life balance,Data Scientist,Former Employee - 2 years,2025-08-11T08:54:03.530671,98,positive,6,5,115,2025,False
gd_90,Tesla,3.9,Mixed experience at Tesla,Supportive team and management,Limited remote work options,Focus on work-life balance,DevOps Engineer,Former Employee - 5 years,2024-08-11T08:54:03.523426,31,neutral,4,4,83,2024,False
gd_91,Oracle,5.0,Great experience at Oracle,Excellent learning opportunities and career growth,Bureaucratic processes slow down innovation,Focus on work-life balance,Product Manager,Former Employee - 2 years,2025-01-27T08:54:03.529594,68,positive,6,5,119,2025,False
gd_92,Google,3.6,Mixed experience at Google,Excellent learning opportunities and career growth,High expectations and long hours during crunch time,Focus on work-life balance,HR Manager,Former Employee - 2 years,2024-11-13T08:54:03.530222,41,neutral,6,8,127,2024,False
gd_93,Amazon,3.3,Mixed experience at Amazon,Competitive compensation and benefits,Limited advancement opportunities in some departments,Focus on innovation,Product Manager,Former Employee - 2 years,2025-03-30T08:54:03.525774,54,neutral,4,6,109,2025,False
gd_94,Amazon,3.1,Mixed experience at Amazon,Excellent learning opportunities and career growth,Limited advancement opportunities in some departments,Focus on work-life balance,HR Manager,Former Employee - 5 years,2025-07-07T08:54:03.528967,77,neutral,6,6,129,2025,False
gd_95,Apple,4.5,Great experience at Apple,Competitive compensation and benefits,Bureaucratic processes slow down innovation,Focus on communication,Marketing Manager,Former Employee - 2 years,2024-09-12T08:54:03.529680,77,positive,4,5,102,2024,False
gd_96,IBM,4.1,Great experience at IBM,Excellent learning opportunities and career growth,Fast-paced environment can be stressful,Focus on employee development,Software Engineer,Former Employee - 5 years,2025-07-02T08:54:03.523559,40,positive,6,5,118,2025,False
gd_97,Meta,4.7,Great experience at Meta,Innovative culture and cutting-edge technology,High expectations and long hours during crunch time,Focus on innovation,Data Scientist,Former Employee - 2 years,2025-06-17T08:54:03.528167,64,positive,5,8,116,2025,False
gd_98,Microsoft,3.4,Mixed experience at Microsoft,Excellent learning opportunities and career growth,Fast-paced environment can be stressful,Focus on communication,Sales Director,Current Employee,2025-08-09T08:54:03.531019,26,neutral,6,5,111,2025,True
gd_99,Netflix,4.0,Great experience at Netflix,Supportive team and management,High expectations and long hours during crunch time,Focus on employee development,HR Manager,Former Employee - 2 years,2024-10-03T08:54:03.530499,40,positive,4,8,110,2024,False
gd_100,Google,3.7,Mixed experience at Google,Innovative culture and cutting-edge technology,Limited remote work options,Focus on innovation,Product Manager,Former Employee - 2 years,2025-07-07T08:54:03.526856,90,neutral,5,4,92,2025,False
gd_101,Tesla,3.6,Mixed experience at Tesla,Innovative culture and cutting-edge technology,Fast-paced environment can be stressful,Focus on employee development,Marketing Manager,Former Employee - 2 years,2025-08-07T08:54:03.530979,62,neutral,5,5,114,2025,False
gd_102,Apple,4.8,Great experience at Apple,Supportive team and management,High expectations and long hours during crunch time,Focus on communication,UX Designer,Former Employee - 5 years,2025-01-02T08:54:03.524564,98,positive,4,8,103,2025,False
gd_103,IBM,4.7,Great experience at IBM,Competitive compensation and benefits,High expectations and long hours during crunch time,Focus on work-life balance,Marketing Manager,Former Employee - 2 years,2024-09-09T08:54:03.530103,67,positive,4,8,114,2024,False
gd_104,Oracle,3.8,Mixed experience at Oracle,Competitive compensation and benefits,High expectations and long hours during crunch time,Focus on work-life balance,UX Designer,Former Employee - 2 years,2025-02-19T08:54:03.529244,68,neutral,4,8,114,2025,False
gd_105,Apple,4.3,Great experience at Apple,Innovative culture and cutting-edge technology,Bureaucratic processes slow down innovation,Focus on innovation,Marketing Manager,Former Employee - 2 years,2024-11-11T08:54:03.526821,0,positive,5,5,108,2024,False
gd_106,Salesforce,3.3,Mixed experience at Salesforce,Great work-life balance and flexible hours,Fast-paced environment can be stressful,Focus on communication,Product Manager,Former Employee - 2 years,2024-08-18T08:54:03.529458,39,neutral,6,5,103,2024,False
gd_107,Netflix,4.3,Great experience at Netflix,Great work-life balance and flexible hours,Bureaucratic processes slow down innovation,Focus on innovation,HR Manager,Former Employee - 2 years,2025-01-06T08:54:03.526163,65,positive,6,5,104,2025,False
gd_108,IBM,4.9,Great experience at IBM,Competitive compensation and benefits,Limited remote work options,Focus on work-life balance,Marketing Manager,Former Employee - 2 years,2024-12-22T08:54:03.529935,90,positive,4,4,90,2024,False
gd_109,IBM,3.7,Mixed experience at IBM,Great work-life balance and flexible hours,Bureaucratic processes slow down innovation,Focus on work-life balance,Marketing Manager,Current Employee,2025-07-13T08:54:03.525338,78,neutral,6,5,111,2025,True
gd_110,Oracle,2.6,Challenging experience at Oracle,Innovative culture and cutting-edge technology,High expectations and long hours during crunch time,Focus on work-life balance,Data Scientist,Former Employee - 5 years,2025-07-23T08:54:03.522984,4,negative,5,8,123,2025,False
gd_111,Netflix,2.0,Challenging experience at Netflix,Excellent learning opportunities and career growth,High expectations and long hours during crunch time,Focus on work-life balance,HR Manager,Former Employee - 2 years,2025-04-28T08:54:03.529731,67,negative,6,8,127,2025,False
gd_112,Netflix,4.2,Great experience at Netflix,Innovative culture and cutting-edge technology,Fast-paced environment can be stressful,Focus on employee development,Sales Director,Former Employee - 2 years,2025-04-15T08:54:03.529922,24,positive,5,5,114,2025,False
gd_113,Google,3.4,Mixed experience at Google,Excellent learning opportunities and career growth,Limited remote work options,Focus on employee development,UX Designer,Current Employee,2025-07-24T08:54:03.522837,29,neutral,6,4,106,2025,True
gd_114,Meta,3.0,Mixed experience at Meta,Competitive compensation and benefits,Fast-paced environment can be stressful,Focus on communication,Marketing Manager,Former Employee - 5 years,2025-06-06T08:54:03.529817,43,neutral,4,5,98,2025,False
gd_115,Oracle,2.1,Challenging experience at Oracle,Great work-life balance and flexible hours,Limited remote work options,Focus on innovation,Product Manager,Current Employee,2025-06-02T08:54:03.527109,66,negative,6,4,88,2025,True
gd_116,Meta,2.3,Challenging experience at Meta,Great work-life balance and flexible hours,High expectations and long hours during crunch time,Focus on work-life balance,Software Engineer,Former Employee - 5 years,2024-10-11T08:54:03.529360,53,negative,6,8,119,2024,False
gd_117,Google,3.1,Mixed experience at Google,Excellent learning opportunities and career growth,Limited remote work options,Focus on work-life balance,UX Designer,Former Employee - 5 years,2025-02-19T08:54:03.525402,54,neutral,6,4,103,2025,False
gd_118,Google,4.7,Great experience at Google,Competitive compensation and benefits,Limited advancement opportunities in some departments,Focus on work-life balance,UX Designer,Former Employee - 2 years,2025-03-13T08:54:03.524839,74,positive,4,6,116,2025,False
gd_119,Amazon,3.9,Mixed experience at Amazon,Competitive compensation and benefits,Limited remote work options,Focus on innovation,Data Scientist,Former Employee - 5 years,2025-05-14T08:54:03.530985,70,neutral,4,4,83,2025,False
gd_120,Netflix,4.1,Great experience at Netflix,Innovative culture and cutting-edge technology,Limited advancement opportunities in some departments,Focus on work-life balance,UX Designer,Former Employee - 2 years,2025-07-29T08:54:03.529626,18,positive,5,6,125,2025,False
gd_121,Netflix,3.4,Mixed experience at Netflix,Innovative culture and cutting-edge technology,High expectations and long hours during crunch time,Focus on communication,Sales Director,Current Employee,2024-10-29T08:54:03.530475,61,neutral,5,8,119,2024,True
gd_122,Tesla,2.1,Challenging experience at Tesla,Innovative culture and cutting-edge technology,Bureaucratic processes slow down innovation,Focus on innovation,Marketing Manager,Current Employee,2024-08-17T08:54:03.530481,51,negative,5,5,108,2024,True
gd_123,Microsoft,3.9,Mixed experience at Microsoft,Competitive compensation and benefits,High expectations and long hours during crunch time,Focus on employee development,UX Designer,Current Employee,2024-09-20T08:54:03.527234,29,neutral,4,8,117,2024,True
gd_124,Apple,3.7,Mixed experience at Apple,Excellent learning opportunities and career growth,Limited advancement opportunities in some departments,Focus on employee development,Software Engineer,Former Employee - 5 years,2024-10-11T08:54:03.528207,13,neutral,6,6,132,2024,False
gd_125,Oracle,2.7,Challenging experience at Oracle,Great work-life balance and flexible hours,Fast-paced environment can be stressful,Focus on innovation,Software Engineer,Former Employee - 2 years,2024-12-06T08:54:03.530608,67,negative,6,5,100,2024,False
gd_126,Tesla,4.3,Great experience at Tesla,Supportive team and management,Limited advancement opportunities in some departments,Focus on work-life balance,Marketing Manager,Former Employee - 5 years,2025-02-05T08:54:03.525724,65,positive,4,6,109,2025,False
gd_127,Apple,3.8,Mixed experience at Apple,Excellent learning opportunities and career growth,Bureaucratic processes slow down innovation,Focus on work-life balance,Product Manager,Former Employee - 2 years,2025-03-09T08:54:03.528973,1,neutral,6,5,119,2025,False
